mu	g3	g2	g1	yt	yb	yc	ys	yu	yd	ytau	ymu	ye	lambda
2.4000000e+07	7.4392892e-01	5.9266782e-01	4.9691685e-01	6.1057552e-01	9.0540691e-03	2.1354772e-03	1.8801632e-04	4.2413061e-06	9.2049733e-06	1.0331801e-02	6.1079438e-04	2.9540042e-06	1.9434959e-02
3.8037437e+07	7.3556793e-01	5.9078740e-01	4.9840471e-01	6.0372953e-01	8.9266336e-03	2.1079998e-03	1.8567717e-04	4.1867326e-06	9.0904526e-06	1.0325350e-02	6.1041275e-04	2.9521585e-06	1.7668354e-02
6.0285274e+07	7.2748494e-01	5.8892420e-01	4.9990579e-01	5.9708355e-01	8.8034929e-03	2.0813839e-03	1.8341236e-04	4.1338703e-06	8.9795712e-06	1.0318189e-02	6.0998911e-04	2.9501096e-06	1.5988386e-02
9.5545721e+07	7.1966481e-01	5.8707796e-01	5.0142030e-01	5.9062697e-01	8.6844085e-03	2.0555829e-03	1.8121785e-04	4.0826263e-06	8.8721318e-06	1.0310347e-02	6.0952520e-04	2.9478660e-06	1.4390597e-02
1.5142976e+08	7.1209353e-01	5.8524845e-01	5.0294845e-01	5.8434997e-01	8.5691600e-03	2.0305535e-03	1.7908991e-04	4.0329151e-06	8.7679518e-06	1.0301851e-02	6.0902265e-04	2.9454355e-06	1.2870835e-02
2.4000000e+08	7.0475811e-01	5.8343545e-01	5.0449045e-01	5.7824343e-01	8.4575439e-03	2.0062559e-03	1.7702511e-04	3.9846571e-06	8.6668625e-06	1.0292727e-02	6.0848298e-04	2.9428255e-06	1.1425232e-02
3.8037437e+08	6.9764651e-01	5.8163872e-01	5.0604654e-01	5.7229889e-01	8.3493714e-03	1.9826529e-03	1.7502023e-04	3.9377787e-06	8.5687071e-06	1.0282999e-02	6.0790762e-04	2.9400428e-06	1.0050170e-02
6.0285274e+08	6.9074752e-01	5.7985803e-01	5.0761692e-01	5.6650850e-01	8.2444672e-03	1.9597100e-03	1.7307231e-04	3.8922115e-06	8.4733400e-06	1.0272691e-02	6.0729792e-04	2.9370941e-06	8.7422655e-03
9.5545721e+08	6.8405070e-01	5.7809317e-01	5.0920184e-01	5.6086494e-01	8.1426684e-03	1.9373953e-03	1.7117857e-04	3.8478917e-06	8.3806258e-06	1.0261823e-02	6.0665514e-04	2.9339854e-06	7.4983473e-03
1.5142976e+09	6.7754633e-01	5.7634392e-01	5.1080152e-01	5.5536136e-01	8.0438235e-03	1.9156787e-03	1.6933644e-04	3.8047600e-06	8.2904382e-06	1.0250415e-02	6.0598047e-04	2.9307225e-06	6.3154374e-03
2.4000000e+09	6.7122533e-01	5.7461006e-01	5.1241620e-01	5.4999138e-01	7.9477910e-03	1.8945324e-03	1.6754351e-04	3.7627609e-06	8.2026593e-06	1.0238487e-02	6.0527504e-04	2.9273108e-06	5.1907365e-03
3.8037436e+09	6.6507921e-01	5.7289138e-01	5.1404612e-01	5.4474905e-01	7.8544390e-03	1.8739302e-03	1.6579753e-04	3.7218426e-06	8.1171790e-06	1.0226057e-02	6.0453991e-04	2.9237554e-06	4.1216095e-03
6.0285274e+09	6.5910002e-01	5.7118768e-01	5.1569155e-01	5.3962875e-01	7.7636439e-03	1.8538478e-03	1.6409639e-04	3.6819565e-06	8.0338943e-06	1.0213141e-02	6.0377607e-04	2.9200613e-06	3.1055724e-03
9.5545721e+09	6.5328030e-01	5.6949874e-01	5.1735272e-01	5.3462525e-01	7.6752902e-03	1.8342623e-03	1.6243813e-04	3.6430573e-06	7.9527084e-06	1.0199755e-02	6.0298449e-04	2.9162329e-06	2.1402816e-03
1.5142976e+10	6.4761306e-01	5.6782437e-01	5.1902990e-01	5.2973361e-01	7.5892696e-03	1.8151521e-03	1.6082088e-04	3.6051023e-06	7.8735308e-06	1.0185916e-02	6.0216604e-04	2.9122746e-06	1.2235225e-03
2.4000000e+10	6.4209174e-01	5.6616436e-01	5.2072335e-01	5.2494922e-01	7.5054803e-03	1.7964971e-03	1.5924291e-04	3.5680513e-06	7.7962763e-06	1.0171636e-02	6.0132157e-04	2.9081905e-06	3.5320101e-04
3.8037436e+10	6.3671015e-01	5.6451853e-01	5.2243335e-01	5.2026769e-01	7.4238269e-03	1.7782784e-03	1.5770259e-04	3.5318666e-06	7.7208647e-06	1.0156929e-02	6.0045189e-04	2.9039844e-06	-4.7266548e-04
