mHiggs mTop log10gamma lmin
1.202000e+02 1.786000e+02 5.808619e+01 -6.352903e-02
1.202000e+02 1.788000e+02 6.185990e+01 -6.489884e-02
1.202000e+02 1.790000e+02 6.548896e+01 -6.627491e-02
1.202000e+02 1.792000e+02 6.898151e+01 -6.765572e-02
1.202000e+02 1.794000e+02 7.234509e+01 -6.904127e-02
1.202000e+02 1.796000e+02 7.558669e+01 -7.043158e-02
1.202000e+02 1.798000e+02 7.871283e+01 -7.182666e-02
1.202000e+02 1.800000e+02 8.172955e+01 -7.322678e-02
1.204000e+02 1.700000e+02 -1.153905e+03 -8.555780e-03
1.204000e+02 1.702000e+02 -9.779482e+02 -9.734168e-03
1.204000e+02 1.704000e+02 -8.409951e+02 -1.091645e-02
1.204000e+02 1.706000e+02 -7.313866e+02 -1.210263e-02
1.204000e+02 1.708000e+02 -6.416865e+02 -1.329269e-02
1.204000e+02 1.710000e+02 -5.669282e+02 -1.448665e-02
1.204000e+02 1.712000e+02 -5.036693e+02 -1.568450e-02
1.204000e+02 1.714000e+02 -4.494492e+02 -1.688624e-02
1.204000e+02 1.716000e+02 -4.024620e+02 -1.809187e-02
1.204000e+02 1.718000e+02 -3.613529e+02 -1.930139e-02
1.204000e+02 1.720000e+02 -3.250853e+02 -2.051481e-02
1.204000e+02 1.722000e+02 -2.928530e+02 -2.173347e-02
1.204000e+02 1.724000e+02 -2.640189e+02 -2.295631e-02
1.204000e+02 1.726000e+02 -2.380736e+02 -2.418315e-02
1.204000e+02 1.728000e+02 -2.146043e+02 -2.541398e-02
1.204000e+02 1.730000e+02 -1.932735e+02 -2.664881e-02
1.204000e+02 1.732000e+02 -1.738023e+02 -2.788764e-02
1.204000e+02 1.734000e+02 -1.559583e+02 -2.913048e-02
1.204000e+02 1.736000e+02 -1.395459e+02 -3.037732e-02
1.204000e+02 1.738000e+02 -1.243999e+02 -3.162999e-02
1.204000e+02 1.740000e+02 -1.103795e+02 -3.288711e-02
1.204000e+02 1.742000e+02 -9.736418e+01 -3.414834e-02
1.204000e+02 1.744000e+02 -8.524975e+01 -3.541370e-02
1.204000e+02 1.746000e+02 -7.394605e+01 -3.668318e-02
1.204000e+02 1.748000e+02 -6.337457e+01 -3.795679e-02
1.204000e+02 1.750000e+02 -5.346658e+01 -3.923454e-02
1.204000e+02 1.752000e+02 -4.416170e+01 -4.051859e-02
1.204000e+02 1.754000e+02 -3.540662e+01 -4.180738e-02
1.204000e+02 1.756000e+02 -2.715415e+01 -4.310042e-02
1.204000e+02 1.758000e+02 -1.936235e+01 -4.439773e-02
1.204000e+02 1.760000e+02 -1.199381e+01 -4.569930e-02
1.204000e+02 1.762000e+02 -5.015084e+00 -4.700515e-02
1.204000e+02 1.764000e+02 1.603775e+00 -4.831588e-02
1.204000e+02 1.766000e+02 7.889841e+00 -4.963343e-02
1.204000e+02 1.768000e+02 1.386766e+01 -5.095538e-02
1.204000e+02 1.770000e+02 1.955924e+01 -5.228174e-02
1.204000e+02 1.772000e+02 2.498458e+01 -5.361252e-02
1.204000e+02 1.774000e+02 3.016189e+01 -5.494773e-02
1.204000e+02 1.776000e+02 3.510773e+01 -5.628737e-02
1.204000e+02 1.778000e+02 3.983725e+01 -5.763408e-02
1.204000e+02 1.780000e+02 4.436428e+01 -5.898623e-02
1.204000e+02 1.782000e+02 4.870153e+01 -6.034295e-02
1.204000e+02 1.784000e+02 5.286063e+01 -6.170424e-02
1.204000e+02 1.786000e+02 5.685232e+01 -6.307013e-02
1.204000e+02 1.788000e+02 6.068647e+01 -6.444062e-02
1.204000e+02 1.790000e+02 6.437220e+01 -6.581700e-02
1.204000e+02 1.792000e+02 6.791795e+01 -6.720068e-02
1.204000e+02 1.794000e+02 7.133152e+01 -6.858910e-02
1.204000e+02 1.796000e+02 7.462014e+01 -6.998228e-02
1.204000e+02 1.798000e+02 7.779055e+01 -7.138023e-02
1.204000e+02 1.800000e+02 8.084898e+01 -7.278296e-02
1.206000e+02 1.700000e+02 -1.259566e+03 -7.980102e-03
1.206000e+02 1.702000e+02 -1.057386e+03 -9.161120e-03
1.206000e+02 1.704000e+02 -9.027384e+02 -1.034614e-02
1.206000e+02 1.706000e+02 -7.806469e+02 -1.153561e-02
1.206000e+02 1.708000e+02 -6.818220e+02 -1.272897e-02
1.206000e+02 1.710000e+02 -6.001995e+02 -1.392622e-02
1.206000e+02 1.712000e+02 -5.316524e+02 -1.512736e-02
1.206000e+02 1.714000e+02 -4.732756e+02 -1.633239e-02
1.206000e+02 1.716000e+02 -4.229646e+02 -1.754131e-02
1.206000e+02 1.718000e+02 -3.791582e+02 -1.875412e-02
1.206000e+02 1.720000e+02 -3.406731e+02 -1.997082e-02
1.206000e+02 1.722000e+02 -3.065971e+02 -2.119141e-02
1.206000e+02 1.724000e+02 -2.762143e+02 -2.241589e-02
1.206000e+02 1.726000e+02 -2.489563e+02 -2.364570e-02
1.206000e+02 1.728000e+02 -2.243656e+02 -2.487975e-02
1.206000e+02 1.730000e+02 -2.020696e+02 -2.611780e-02
1.206000e+02 1.732000e+02 -1.817621e+02 -2.735985e-02
1.206000e+02 1.734000e+02 -1.631890e+02 -2.860590e-02
1.206000e+02 1.736000e+02 -1.461375e+02 -2.985595e-02
1.206000e+02 1.738000e+02 -1.304285e+02 -3.111001e-02
1.206000e+02 1.740000e+02 -1.159098e+02 -3.236848e-02
1.206000e+02 1.742000e+02 -1.024513e+02 -3.363287e-02
1.206000e+02 1.744000e+02 -8.994135e+01 -3.490137e-02
1.206000e+02 1.746000e+02 -7.828326e+01 -3.617400e-02
1.206000e+02 1.748000e+02 -6.739312e+01 -3.745075e-02
1.206000e+02 1.750000e+02 -5.719767e+01 -3.873164e-02
1.206000e+02 1.752000e+02 -4.763269e+01 -4.001667e-02
1.206000e+02 1.754000e+02 -3.864157e+01 -4.130673e-02
1.206000e+02 1.756000e+02 -3.017434e+01 -4.260285e-02
1.206000e+02 1.758000e+02 -2.218662e+01 -4.390324e-02
1.206000e+02 1.760000e+02 -1.463894e+01 -4.520788e-02
1.206000e+02 1.762000e+02 -7.496022e+00 -4.651680e-02
1.206000e+02 1.764000e+02 -7.262118e-01 -4.783001e-02
1.206000e+02 1.766000e+02 5.698562e+00 -4.914749e-02
1.206000e+02 1.768000e+02 1.180433e+01 -5.047189e-02
1.206000e+02 1.770000e+02 1.761412e+01 -5.180126e-02
1.206000e+02 1.772000e+02 2.314886e+01 -5.313506e-02
1.206000e+02 1.774000e+02 2.842757e+01 -5.447327e-02
1.206000e+02 1.776000e+02 3.346757e+01 -5.581592e-02
1.206000e+02 1.778000e+02 3.828463e+01 -5.716301e-02
1.206000e+02 1.780000e+02 4.289317e+01 -5.851615e-02
1.206000e+02 1.782000e+02 4.730642e+01 -5.987582e-02
1.206000e+02 1.784000e+02 5.153649e+01 -6.124006e-02
1.206000e+02 1.786000e+02 5.559452e+01 -6.260889e-02
1.206000e+02 1.788000e+02 5.949076e+01 -6.398232e-02
1.206000e+02 1.790000e+02 6.323469e+01 -6.536037e-02
1.206000e+02 1.792000e+02 6.683502e+01 -6.674337e-02
1.206000e+02 1.794000e+02 7.029986e+01 -6.813469e-02
1.206000e+02 1.796000e+02 7.363668e+01 -6.953075e-02
1.206000e+02 1.798000e+02 7.685243e+01 -7.093158e-02
1.206000e+02 1.800000e+02 7.995359e+01 -7.233719e-02
1.208000e+02 1.700000e+02 -1.383226e+03 -7.402309e-03
1.208000e+02 1.702000e+02 -1.148410e+03 -8.586712e-03
1.208000e+02 1.704000e+02 -9.723487e+02 -9.774909e-03
1.208000e+02 1.706000e+02 -8.354765e+02 -1.096690e-02
1.208000e+02 1.708000e+02 -7.260341e+02 -1.216268e-02
1.208000e+02 1.710000e+02 -6.365373e+02 -1.336253e-02
1.208000e+02 1.712000e+02 -5.619953e+02 -1.456698e-02
1.208000e+02 1.714000e+02 -4.989532e+02 -1.577533e-02
1.208000e+02 1.716000e+02 -4.449438e+02 -1.698756e-02
1.208000e+02 1.718000e+02 -3.981581e+02 -1.820368e-02
1.208000e+02 1.720000e+02 -3.572397e+02 -1.942368e-02
1.208000e+02 1.722000e+02 -3.211519e+02 -2.064758e-02
1.208000e+02 1.724000e+02 -2.890880e+02 -2.187537e-02
1.208000e+02 1.726000e+02 -2.604118e+02 -2.310704e-02
1.208000e+02 1.728000e+02 -2.346142e+02 -2.434261e-02
1.208000e+02 1.730000e+02 -2.112832e+02 -2.558379e-02
1.208000e+02 1.732000e+02 -1.900819e+02 -2.682908e-02
1.208000e+02 1.734000e+02 -1.707321e+02 -2.807836e-02
1.208000e+02 1.736000e+02 -1.530017e+02 -2.933165e-02
1.208000e+02 1.738000e+02 -1.366961e+02 -3.058894e-02
1.208000e+02 1.740000e+02 -1.216505e+02 -3.185024e-02
1.208000e+02 1.742000e+02 -1.077246e+02 -3.311555e-02
1.208000e+02 1.744000e+02 -9.479825e+01 -3.438622e-02
1.208000e+02 1.746000e+02 -8.276780e+01 -3.566201e-02
1.208000e+02 1.748000e+02 -7.154345e+01 -3.694193e-02
1.208000e+02 1.750000e+02 -6.104703e+01 -3.822599e-02
1.208000e+02 1.752000e+02 -5.121010e+01 -3.951417e-02
1.208000e+02 1.754000e+02 -4.197257e+01 -4.080650e-02
1.208000e+02 1.756000e+02 -3.328144e+01 -4.210298e-02
1.208000e+02 1.758000e+02 -2.508974e+01 -4.340609e-02
1.208000e+02 1.760000e+02 -1.735575e+01 -4.471384e-02
1.208000e+02 1.762000e+02 -1.004231e+01 -4.602585e-02
1.208000e+02 1.764000e+02 -3.116031e+00 -4.734214e-02
1.208000e+02 1.766000e+02 3.452661e+00 -4.866272e-02
1.208000e+02 1.768000e+02 9.690924e+00 -4.998759e-02
1.208000e+02 1.770000e+02 1.562301e+01 -5.131827e-02
1.208000e+02 1.772000e+02 2.127083e+01 -5.265509e-02
1.208000e+02 1.774000e+02 2.665427e+01 -5.399633e-02
1.208000e+02 1.776000e+02 3.179141e+01 -5.534200e-02
1.208000e+02 1.778000e+02 3.669873e+01 -5.669212e-02
1.208000e+02 1.780000e+02 4.139126e+01 -5.804668e-02
1.208000e+02 1.782000e+02 4.588276e+01 -5.940630e-02
1.208000e+02 1.784000e+02 5.018585e+01 -6.077351e-02
1.208000e+02 1.786000e+02 5.431209e+01 -6.214530e-02
1.208000e+02 1.788000e+02 5.827215e+01 -6.352170e-02
1.208000e+02 1.790000e+02 6.207583e+01 -6.490270e-02
1.208000e+02 1.792000e+02 6.573219e+01 -6.628832e-02
1.208000e+02 1.794000e+02 6.924961e+01 -6.767858e-02
1.208000e+02 1.796000e+02 7.263585e+01 -6.907697e-02
1.208000e+02 1.798000e+02 7.589808e+01 -7.048070e-02
1.208000e+02 1.800000e+02 7.904299e+01 -7.188921e-02
1.210000e+02 1.700000e+02 -1.529893e+03 -6.821062e-03
1.210000e+02 1.702000e+02 -1.253743e+03 -8.008876e-03
1.210000e+02 1.704000e+02 -1.051428e+03 -9.200483e-03
1.210000e+02 1.706000e+02 -8.968748e+02 -1.039588e-02
1.210000e+02 1.708000e+02 -7.749760e+02 -1.159507e-02
1.210000e+02 1.710000e+02 -6.763853e+02 -1.279804e-02
1.210000e+02 1.712000e+02 -5.950090e+02 -1.400480e-02
1.210000e+02 1.714000e+02 -5.267061e+02 -1.521534e-02
1.210000e+02 1.716000e+02 -4.685646e+02 -1.643059e-02
1.210000e+02 1.718000e+02 -4.184768e+02 -1.765004e-02
1.210000e+02 1.720000e+02 -3.748802e+02 -1.887338e-02
1.210000e+02 1.722000e+02 -3.365914e+02 -2.010061e-02
1.210000e+02 1.724000e+02 -3.026985e+02 -2.133172e-02
1.210000e+02 1.726000e+02 -2.724862e+02 -2.256673e-02
1.210000e+02 1.728000e+02 -2.453872e+02 -2.380562e-02
1.210000e+02 1.730000e+02 -2.209446e+02 -2.504840e-02
1.210000e+02 1.732000e+02 -1.987868e+02 -2.629531e-02
1.210000e+02 1.734000e+02 -1.786082e+02 -2.754785e-02
1.210000e+02 1.736000e+02 -1.601557e+02 -2.880440e-02
1.210000e+02 1.738000e+02 -1.432170e+02 -3.006494e-02
1.210000e+02 1.740000e+02 -1.276138e+02 -3.132949e-02
1.210000e+02 1.742000e+02 -1.131944e+02 -3.259805e-02
1.210000e+02 1.744000e+02 -9.982937e+01 -3.387062e-02
1.210000e+02 1.746000e+02 -8.740733e+01 -3.514721e-02
1.210000e+02 1.748000e+02 -7.583216e+01 -3.643032e-02
1.210000e+02 1.750000e+02 -6.502030e+01 -3.771755e-02
1.210000e+02 1.752000e+02 -5.489887e+01 -3.900892e-02
1.210000e+02 1.754000e+02 -4.540396e+01 -4.030443e-02
