mHiggs mTop log10gamma lmin
1.202000e+02 1.786000e+02 4.849016e+01 -6.036627e-02
1.202000e+02 1.788000e+02 5.262223e+01 -6.171983e-02
1.202000e+02 1.790000e+02 5.658924e+01 -6.307843e-02
1.202000e+02 1.792000e+02 6.040089e+01 -6.444168e-02
1.202000e+02 1.794000e+02 6.406608e+01 -6.580958e-02
1.202000e+02 1.796000e+02 6.759308e+01 -6.718215e-02
1.202000e+02 1.798000e+02 7.098953e+01 -6.855941e-02
1.202000e+02 1.800000e+02 7.426254e+01 -6.994267e-02
1.204000e+02 1.700000e+02 -1.775788e+03 -6.039104e-03
1.204000e+02 1.702000e+02 -1.431378e+03 -7.203607e-03
1.204000e+02 1.704000e+02 -1.186586e+03 -8.371960e-03
1.204000e+02 1.706000e+02 -1.003724e+03 -9.544161e-03
1.204000e+02 1.708000e+02 -8.619635e+02 -1.072021e-02
1.204000e+02 1.710000e+02 -7.488643e+02 -1.190010e-02
1.204000e+02 1.712000e+02 -6.565428e+02 -1.308384e-02
1.204000e+02 1.714000e+02 -5.797609e+02 -1.427142e-02
1.204000e+02 1.716000e+02 -5.149039e+02 -1.546285e-02
1.204000e+02 1.718000e+02 -4.593965e+02 -1.665930e-02
1.204000e+02 1.720000e+02 -4.113550e+02 -1.785970e-02
1.204000e+02 1.722000e+02 -3.693696e+02 -1.906405e-02
1.204000e+02 1.724000e+02 -3.323645e+02 -2.027234e-02
1.204000e+02 1.726000e+02 -2.995043e+02 -2.148457e-02
1.204000e+02 1.728000e+02 -2.701307e+02 -2.270075e-02
1.204000e+02 1.730000e+02 -2.437176e+02 -2.392088e-02
1.204000e+02 1.732000e+02 -2.198396e+02 -2.514495e-02
1.204000e+02 1.734000e+02 -1.981493e+02 -2.637297e-02
1.204000e+02 1.736000e+02 -1.783597e+02 -2.760666e-02
1.204000e+02 1.738000e+02 -1.602322e+02 -2.884458e-02
1.204000e+02 1.740000e+02 -1.435661e+02 -3.008656e-02
1.204000e+02 1.742000e+02 -1.281920e+02 -3.133260e-02
1.204000e+02 1.744000e+02 -1.139656e+02 -3.258271e-02
1.204000e+02 1.746000e+02 -1.007635e+02 -3.383688e-02
1.204000e+02 1.748000e+02 -8.847899e+01 -3.509511e-02
1.204000e+02 1.750000e+02 -7.701999e+01 -3.635857e-02
1.204000e+02 1.752000e+02 -6.630622e+01 -3.762747e-02
1.204000e+02 1.754000e+02 -5.626743e+01 -3.890054e-02
1.204000e+02 1.756000e+02 -4.684202e+01 -4.017781e-02
1.204000e+02 1.758000e+02 -3.797555e+01 -4.145927e-02
1.204000e+02 1.760000e+02 -2.961989e+01 -4.274493e-02
1.204000e+02 1.762000e+02 -2.173227e+01 -4.403480e-02
1.204000e+02 1.764000e+02 -1.427457e+01 -4.533077e-02
1.204000e+02 1.766000e+02 -7.212681e+00 -4.663205e-02
1.204000e+02 1.768000e+02 -5.159637e-01 -4.793767e-02
1.204000e+02 1.770000e+02 5.842767e+00 -4.924762e-02
1.204000e+02 1.772000e+02 1.188878e+01 -5.056192e-02
1.204000e+02 1.774000e+02 1.764445e+01 -5.188057e-02
1.204000e+02 1.776000e+02 2.313009e+01 -5.320385e-02
1.204000e+02 1.778000e+02 2.836422e+01 -5.453459e-02
1.204000e+02 1.780000e+02 3.336370e+01 -5.586980e-02
1.204000e+02 1.782000e+02 3.814390e+01 -5.720951e-02
1.204000e+02 1.784000e+02 4.271890e+01 -5.855371e-02
1.204000e+02 1.786000e+02 4.710159e+01 -5.990242e-02
1.204000e+02 1.788000e+02 5.130381e+01 -6.125565e-02
