mu	g3	g2	g1	yt	yb	yc	ys	yu	yd	ytau	ymu	ye	lambda
2.4000000e+07	7.4392236e-01	5.9260790e-01	4.9690114e-01	6.1125243e-01	9.0549288e-03	2.1358574e-03	1.8804971e-04	4.2420611e-06	9.2066082e-06	1.0333609e-02	6.1090127e-04	2.9545212e-06	1.8988790e-02
3.8037437e+07	7.3556132e-01	5.9072680e-01	4.9838862e-01	6.0441017e-01	8.9275204e-03	2.1083921e-03	1.8571164e-04	4.1875118e-06	9.0921405e-06	1.0327239e-02	6.1052440e-04	2.9526985e-06	1.7208922e-02
6.0285274e+07	7.2747829e-01	5.8886296e-01	4.9988933e-01	5.9776757e-01	8.8044060e-03	2.0817880e-03	1.8344788e-04	4.1346729e-06	8.9813106e-06	1.0320158e-02	6.1010549e-04	2.9506725e-06	1.5516134e-02
9.5545721e+07	7.1965813e-01	5.8701614e-01	5.0140346e-01	5.9131406e-01	8.6853471e-03	2.0559984e-03	1.8125439e-04	4.0834517e-06	8.8739211e-06	1.0312395e-02	6.0964627e-04	2.9484515e-06	1.3905963e-02
1.5142976e+08	7.1208682e-01	5.8518609e-01	5.0293124e-01	5.8503982e-01	8.5701233e-03	2.0309802e-03	1.7912745e-04	4.0337625e-06	8.7697897e-06	1.0303977e-02	6.0914837e-04	2.9460435e-06	1.2374251e-02
2.4000000e+08	7.0475139e-01	5.8337259e-01	5.0447289e-01	5.7893578e-01	8.4585311e-03	2.0066933e-03	1.7706361e-04	3.9855259e-06	8.6687475e-06	1.0294931e-02	6.0861330e-04	2.9434557e-06	1.0917123e-02
3.8037437e+08	6.9763978e-01	5.8157539e-01	5.0602861e-01	5.7299350e-01	8.3503817e-03	1.9831008e-03	1.7505967e-04	3.9386683e-06	8.5706378e-06	1.0285281e-02	6.0804250e-04	2.9406951e-06	9.5309535e-03
6.0285274e+08	6.9074078e-01	5.7979428e-01	5.0759863e-01	5.6720513e-01	8.2454999e-03	1.9601680e-03	1.7311265e-04	3.8931211e-06	8.4753151e-06	1.0275049e-02	6.0743730e-04	2.9377682e-06	8.2123522e-03
9.5545721e+08	6.8404396e-01	5.7802903e-01	5.0918319e-01	5.6156339e-01	8.1437228e-03	1.9378631e-03	1.7121979e-04	3.8488208e-06	8.3826440e-06	1.0264256e-02	6.0679899e-04	2.9346811e-06	6.9581393e-03
1.5142976e+09	6.7753961e-01	5.7627942e-01	5.1078251e-01	5.5606144e-01	8.0448989e-03	1.9161560e-03	1.6937852e-04	3.8057080e-06	8.2924983e-06	1.0252923e-02	6.0612874e-04	2.9314396e-06	5.7653290e-03
2.4000000e+09	6.7121862e-01	5.7454523e-01	5.1239684e-01	5.5069292e-01	7.9488868e-03	1.8950189e-03	1.6758642e-04	3.7637272e-06	8.2047601e-06	1.0241069e-02	6.0542768e-04	2.9280490e-06	4.6311139e-03
3.8037436e+09	6.6507251e-01	5.7282625e-01	5.1402641e-01	5.4545187e-01	7.8555545e-03	1.8744257e-03	1.6584124e-04	3.7228266e-06	8.1193193e-06	1.0228712e-02	6.0469687e-04	2.9245146e-06	3.5528504e-03
6.0285274e+09	6.5909334e-01	5.7112227e-01	5.1567148e-01	5.4033271e-01	7.7647785e-03	1.8543520e-03	1.6414089e-04	3.6829578e-06	8.0360728e-06	1.0215868e-02	6.0393731e-04	2.9208411e-06	2.5280465e-03
9.5545721e+09	6.5327364e-01	5.6943308e-01	5.1733230e-01	5.3533021e-01	7.6764433e-03	1.8347748e-03	1.6248338e-04	3.6440753e-06	7.9549242e-06	1.0202554e-02	6.0314994e-04	2.9170331e-06	1.5543498e-03
1.5142976e+10	6.4760643e-01	5.6775849e-01	5.1900912e-01	5.3043944e-01	7.5904405e-03	1.8156728e-03	1.6086688e-04	3.6061364e-06	7.8757827e-06	1.0188785e-02	6.0233567e-04	2.9130950e-06	6.2953736e-04
2.4000000e+10	6.4208513e-01	5.6609828e-01	5.2070222e-01	5.2565579e-01	7.5066686e-03	1.7970257e-03	1.5928963e-04	3.5691011e-06	7.7985633e-06	1.0174575e-02	6.0149532e-04	2.9090308e-06	-2.4849340e-04
3.8037436e+10	6.3670358e-01	5.6445227e-01	5.2241186e-01	5.2097489e-01	7.4250319e-03	1.7788146e-03	1.5775000e-04	3.5329316e-06	7.7231858e-06	1.0159937e-02	6.0062972e-04	2.9048444e-06	-1.0817335e-03
6.0285274e+10	6.3145594e-01	5.6282026e-01	5.2413833e-01	5.1639266e-01	7.3454407e-03	1.7610215e-03	1.5624646e-04	3.4975926e-06	7.6495749e-06	1.0144885e-02	5.9973960e-04	2.9005396e-06	-1.8720700e-03
9.5545721e+10	6.2633673e-01	5.6120206e-01	5.2588189e-01	5.1190521e-01	7.2678103e-03	1.7436297e-03	1.5477755e-04	3.4630504e-06	7.5776595e-06	1.0129431e-02	5.9882570e-04	2.8961196e-06	-2.6212929e-03
1.5142976e+11	6.2134079e-01	5.5959748e-01	5.2764285e-01	5.0750889e-01	7.1920609e-03	1.7266233e-03	1.5334190e-04	3.4292735e-06	7.5073726e-06	1.0113586e-02	5.9788870e-04	2.8915879e-06	-3.3311016e-03
2.4000000e+11	6.1646322e-01	5.5800635e-01	5.2942150e-01	5.0320024e-01	7.1181174e-03	1.7099871e-03	1.5193822e-04	3.3962321e-06	7.4386508e-06	1.0097360e-02	5.9692923e-04	2.8869477e-06	-4.0031109e-03
3.8037436e+11	6.1169942e-01	5.5642848e-01	5.3121814e-01	4.9897599e-01	7.0459085e-03	1.6937070e-03	1.5056529e-04	3.3638980e-06	7.3714343e-06	1.0080765e-02	5.9594792e-04	2.8822017e-06	-4.6388561e-03
6.0285274e+11	6.0704500e-01	5.5486370e-01	5.3303309e-01	4.9483304e-01	6.9753671e-03	1.6777696e-03	1.4922194e-04	3.3322444e-06	7.3056664e-06	1.0063811e-02	5.9494535e-04	2.8773529e-06	-5.2397980e-03
9.5545721e+11	6.0249583e-01	5.5331182e-01	5.3486665e-01	4.9076845e-01	6.9064295e-03	1.6621621e-03	1.4790709e-04	3.3012461e-06	7.2412935e-06	1.0046506e-02	5.9392207e-04	2.8724040e-06	-5.8073274e-03
1.5142976e+12	5.9804799e-01	5.5177269e-01	5.3671916e-01	4.8677944e-01	6.8390356e-03	1.6468725e-03	1.4661969e-04	3.2708790e-06	7.1782647e-06	1.0028860e-02	5.9287860e-04	2.8673574e-06	-6.3427694e-03
2.4000000e+12	5.9369776e-01	5.5024612e-01	5.3859095e-01	4.8286335e-01	6.7731281e-03	1.6318892e-03	1.4535876e-04	3.2411205e-06	7.1165316e-06	1.0010880e-02	5.9181544e-04	2.8622156e-06	-6.8473872e-03
3.8037436e+12	5.8944162e-01	5.4873197e-01	5.4048235e-01	4.7901767e-01	6.7086529e-03	1.6172014e-03	1.4412337e-04	3.2119488e-06	7.0560486e-06	9.9925757e-03	5.9073307e-04	2.8569809e-06	-7.3223853e-03
6.0285274e+12	5.8527620e-01	5.4723006e-01	5.4239373e-01	4.7524000e-01	6.6455586e-03	1.6027988e-03	1.4291261e-04	3.1833434e-06	6.9967720e-06	9.9739538e-03	5.8963194e-04	2.8516555e-06	-7.7689132e-03
9.5545720e+12	5.8119832e-01	5.4574023e-01	5.4432542e-01	4.7152806e-01	6.5837963e-03	1.5886714e-03	1.4172565e-04	3.1552849e-06	6.9386603e-06	9.9550217e-03	5.8851247e-04	2.8462414e-06	-8.1880685e-03
1.5142976e+13	5.7720495e-01	5.4426233e-01	5.4627782e-01	4.6787968e-01	6.5233194e-03	1.5748100e-03	1.4056168e-04	3.1277544e-06	6.8816743e-06	9.9357863e-03	5.8737507e-04	2.8407405e-06	-8.5808991e-03
2.4000000e+13	5.7329320e-01	5.4279620e-01	5.4825128e-01	4.6429278e-01	6.4640838e-03	1.5612056e-03	1.3941993e-04	3.1007344e-06	6.8257762e-06	9.9162541e-03	5.8622013e-04	2.8351548e-06	-8.9484066e-03
